symbol,date,rows,expected_minutes,missing_minutes
HON,2025-12-24,64,390,326
HON,2025-11-28,71,390,319
DE,2025-12-24,76,390,314
GS,2025-12-24,87,390,303
RTX,2025-12-26,88,390,302
LOW,2025-12-24,89,390,301
CVX,2025-12-24,92,390,298
GS,2025-11-28,95,390,295
RTX,2025-11-28,97,390,293
ABBV,2025-12-24,101,390,289
CAT,2025-11-28,107,390,283
LLY,2025-12-24,110,390,280
RTX,2025-12-24,110,390,280
GS,2025-12-26,118,390,272
COST,2025-11-28,119,390,271
HON,2025-12-26,119,390,271
MS,2025-12-24,120,390,270
PEP,2025-11-28,122,390,268
IBM,2025-12-24,123,390,267
RTX,2025-12-29,124,390,266
ABBV,2025-12-31,125,390,265
DE,2025-12-26,131,390,259
LLY,2025-12-26,131,390,259
ABBV,2025-12-29,133,390,257
ADBE,2025-12-24,134,390,256
HON,2025-12-29,134,390,256
GE,2025-12-24,135,390,255
BA,2025-12-24,136,390,254
HON,2025-12-23,137,390,253
MA,2025-12-24,137,390,253
DE,2026-01-13,139,390,251
ADBE,2025-11-28,142,390,248
HON,2025-12-19,142,390,248
COST,2025-12-03,144,390,246
HON,2025-12-01,144,390,246
HON,2025-12-30,144,390,246
HON,2025-12-08,145,390,245
MS,2025-11-28,146,390,244
MCD,2025-11-28,147,390,243
UNH,2025-12-24,148,390,242
HON,2026-01-27,149,390,241
HON,2025-12-09,150,390,240
JNJ,2025-12-24,151,390,239
GE,2025-11-28,152,390,238
HON,2025-11-17,152,390,238
PEP,2025-12-24,153,390,237
JNJ,2025-12-30,154,390,236
DE,2025-12-31,155,390,235
LOW,2025-11-28,155,390,235
MA,2025-12-26,155,390,235
MS,2025-12-26,155,390,235
HON,2025-11-26,156,390,234
COST,2025-12-26,158,390,232
CVX,2025-11-28,159,390,231
RTX,2025-12-30,159,390,231
DE,2026-01-28,160,390,230
GS,2025-12-31,160,390,230
ABBV,2025-11-28,161,390,229
MCD,2025-12-24,161,390,229
ABBV,2025-12-23,162,390,228
LLY,2025-12-30,162,390,228
COST,2025-12-24,163,390,227
HON,2025-12-15,163,390,227
HON,2025-12-31,163,390,227
DE,2025-11-10,164,390,226
HON,2025-12-12,164,390,226
DE,2025-12-30,166,390,224
RTX,2025-11-11,166,390,224
MS,2025-12-30,168,390,222
RTX,2026-01-02,168,390,222
GS,2026-01-08,171,390,219
CAT,2025-12-24,173,390,217
COST,2025-11-25,173,390,217
DE,2025-11-12,173,390,217
MS,2025-12-31,173,390,217
COST,2025-11-11,174,390,216
RTX,2025-11-12,175,390,215
PEP,2025-12-26,176,390,214
IBM,2025-11-28,177,390,213
MA,2025-12-31,178,390,212
COP,2025-12-24,179,390,211
COST,2025-12-31,179,390,211
HD,2025-11-28,179,390,211
HD,2025-12-24,179,390,211
HON,2025-11-07,180,390,210
HON,2025-12-11,181,390,209
LOW,2025-12-22,182,390,208
LLY,2025-11-28,183,390,207
RTX,2025-12-22,183,390,207
SBUX,2025-11-28,183,390,207
DIS,2025-12-24,184,390,206
GS,2025-12-22,184,390,206
HON,2025-11-12,184,390,206
HON,2025-11-24,184,390,206
HON,2025-12-05,184,390,206
SBUX,2025-12-24,184,390,206
DE,2025-11-28,185,390,205
ADBE,2025-12-26,186,390,204
HON,2026-02-03,186,390,204
ABBV,2025-12-30,187,390,203
CAT,2026-01-22,187,390,203
COST,2025-11-26,187,390,203
MA,2025-11-28,187,390,203
RTX,2025-12-05,187,390,203
RTX,2025-12-31,187,390,203
COST,2025-11-12,188,390,202
MA,2025-12-29,188,390,202
SLB,2025-12-24,188,390,202
BA,2025-11-28,189,390,201
DE,2026-01-27,189,390,201
RTX,2025-12-02,189,390,201
HON,2025-11-14,190,390,200
V,2025-12-24,190,390,200
TGT,2025-12-24,191,390,199
HON,2025-11-10,192,390,198
HON,2026-01-23,192,390,198
ABBV,2026-01-02,193,390,197
CAT,2025-12-31,193,390,197
COP,2025-11-28,193,390,197
JPM,2025-12-24,193,390,197
MS,2025-12-29,193,390,197
TGT,2025-11-28,193,390,197
ABBV,2025-12-26,194,390,196
DE,2026-01-29,194,390,196
MSFT,2025-12-24,194,390,196
IBM,2025-12-30,195,390,195
COST,2025-12-30,196,390,194
DE,2025-11-05,196,390,194
SLB,2025-11-28,196,390,194
AMD,2025-12-24,197,390,193
GS,2026-01-13,197,390,193
GS,2026-01-28,197,390,193
HON,2025-11-13,197,390,193
HON,2025-12-18,197,390,193
HON,2026-01-12,197,390,193
DE,2026-02-02,199,390,191
GS,2025-12-30,199,390,191
JNJ,2025-12-31,199,390,191
META,2025-12-24,199,390,191
C,2025-11-28,200,390,190
DE,2025-11-03,200,390,190
DE,2026-01-16,200,390,190
HD,2025-12-26,201,390,189
PFE,2025-12-24,201,390,189
RTX,2025-12-23,202,390,188
GS,2025-12-03,203,390,187
JNJ,2025-11-28,203,390,187
NKE,2025-11-28,203,390,187
PYPL,2025-12-24,203,390,187
UNH,2025-11-28,203,390,187
V,2025-11-28,203,390,187
DE,2026-01-30,204,390,186
GS,2026-02-02,204,390,186
LOW,2025-12-30,204,390,186
MRK,2025-12-24,204,390,186
WFC,2025-11-28,204,390,186
COST,2026-01-29,205,390,185
DIS,2025-11-28,205,390,185
HON,2025-12-03,205,390,185
KO,2025-12-24,205,390,185
MS,2025-11-10,205,390,185
AMZN,2025-12-24,206,390,184
DE,2026-01-20,206,390,184
HON,2025-11-20,206,390,184
HON,2025-11-25,206,390,184
RTX,2025-11-26,206,390,184
COST,2025-12-05,207,390,183
GE,2025-12-26,207,390,183
GOOGL,2025-12-24,207,390,183
GS,2025-11-26,207,390,183
JPM,2025-11-28,207,390,183
KO,2025-11-28,207,390,183
WMT,2025-12-24,207,390,183
XOM,2025-11-28,207,390,183
XOM,2025-12-24,207,390,183
AAPL,2025-12-24,208,390,182
HON,2025-12-04,208,390,182
JNJ,2025-12-29,208,390,182
MCD,2025-12-31,208,390,182
PEP,2025-12-30,208,390,182
RTX,2025-11-17,208,390,182
WFC,2025-12-24,208,390,182
DE,2025-12-09,209,390,181
MRK,2025-11-28,209,390,181
PYPL,2025-11-28,209,390,181
TSLA,2025-12-24,209,390,181
WMT,2025-11-28,209,390,181
AAPL,2025-11-28,210,390,180
AMZN,2025-11-28,210,390,180
AVGO,2025-11-28,210,390,180
BAC,2025-11-28,210,390,180
BAC,2025-12-24,210,390,180
C,2025-12-24,210,390,180
DE,2026-01-05,210,390,180
HON,2025-12-16,210,390,180
LOW,2025-12-31,210,390,180
NKE,2025-12-24,210,390,180
CAT,2025-11-26,211,390,179
CAT,2025-12-23,211,390,179
GS,2025-11-19,211,390,179
GS,2025-12-29,211,390,179
MA,2025-12-30,211,390,179
MCD,2025-12-26,211,390,179
MS,2026-01-06,211,390,179
