symbol,min_date,max_date,actual_days,expected_bdays,missing_days
XOM,2023-11-30,2025-12-30,63,544,481
WMT,2023-11-30,2025-12-30,63,544,481
WFC,2023-11-30,2025-12-30,63,544,481
V,2023-11-30,2025-12-30,63,544,481
UNH,2023-11-30,2025-12-30,63,544,481
TSLA,2023-11-30,2025-12-30,63,544,481
TGT,2023-11-30,2025-12-30,63,544,481
SLB,2023-11-30,2025-12-30,63,544,481
SBUX,2023-11-30,2025-12-30,63,544,481
RTX,2023-11-30,2025-12-30,63,544,481
PYPL,2023-11-30,2025-12-30,63,544,481
PFE,2023-11-30,2025-12-30,63,544,481
PEP,2023-11-30,2025-12-30,63,544,481
ORCL,2023-11-30,2025-12-30,63,544,481
NVDA,2023-11-30,2025-12-30,63,544,481
NKE,2023-11-30,2025-12-30,63,544,481
NFLX,2023-11-30,2025-12-30,63,544,481
MSFT,2023-11-30,2025-12-30,63,544,481
MS,2023-11-30,2025-12-30,63,544,481
MRK,2023-11-30,2025-12-30,63,544,481
META,2023-11-30,2025-12-30,63,544,481
MCD,2023-11-30,2025-12-30,63,544,481
MA,2023-11-30,2025-12-30,63,544,481
LOW,2023-11-30,2025-12-30,63,544,481
LLY,2023-11-30,2025-12-30,63,544,481
KO,2023-11-30,2025-12-30,63,544,481
JPM,2023-11-30,2025-12-30,63,544,481
JNJ,2023-11-30,2025-12-30,63,544,481
INTC,2023-11-30,2025-12-30,63,544,481
IBM,2023-11-30,2025-12-30,63,544,481
HON,2023-11-30,2025-12-30,63,544,481
HD,2023-11-30,2025-12-30,63,544,481
GS,2023-11-30,2025-12-30,63,544,481
GOOGL,2023-11-30,2025-12-30,63,544,481
GE,2023-11-30,2025-12-30,63,544,481
DIS,2023-11-30,2025-12-30,63,544,481
DE,2023-11-30,2025-12-30,63,544,481
CVX,2023-11-30,2025-12-30,63,544,481
COST,2023-11-30,2025-12-30,63,544,481
COP,2023-11-30,2025-12-30,63,544,481
CAT,2023-11-30,2025-12-30,63,544,481
C,2023-11-30,2025-12-30,63,544,481
BAC,2023-11-30,2025-12-30,63,544,481
BA,2023-11-30,2025-12-30,63,544,481
AVGO,2023-11-30,2025-12-30,63,544,481
AMZN,2023-11-30,2025-12-30,63,544,481
AMD,2023-11-30,2025-12-30,63,544,481
ADBE,2023-11-30,2025-12-30,63,544,481
ABBV,2023-11-30,2025-12-30,63,544,481
AAPL,2023-11-30,2025-12-30,63,544,481
