symbol,timeframe,min_ts,max_ts,row_count,duplicate_keys,ohlc_violation_count,gap_count,out_of_order_count,last_updated,notes
AAPL,1Min,2025-11-03 07:51:00-06:00,2026-02-03 15:41:00-06:00,24267,0,0,413,0,2026-02-21T22:57:12.262596+00:00,
ABBV,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,17518,0,0,7052,0,2026-02-21T22:57:12.262596+00:00,
ADBE,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,19800,0,0,4770,0,2026-02-21T22:57:12.262596+00:00,
AMD,1Min,2025-11-03 07:01:00-06:00,2026-02-03 15:59:00-06:00,23817,0,0,915,0,2026-02-21T22:57:12.262596+00:00,
AMZN,1Min,2025-11-03 08:00:00-06:00,2026-02-03 14:59:00-06:00,24184,0,0,440,0,2026-02-21T22:57:12.262596+00:00,
AVGO,1Min,2025-11-03 07:37:00-06:00,2026-02-03 15:59:00-06:00,24456,0,0,409,0,2026-02-21T22:57:12.262596+00:00,
BA,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,19737,0,0,4833,0,2026-02-21T22:57:12.262596+00:00,
BAC,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,24059,0,0,520,0,2026-02-21T22:57:12.262596+00:00,
C,1Min,2025-11-03 08:31:00-06:00,2026-02-03 14:59:00-06:00,23161,0,0,1414,0,2026-02-21T22:57:12.262596+00:00,
CAT,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,17455,0,0,7115,0,2026-02-21T22:57:12.262596+00:00,
COP,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,21842,0,0,2728,0,2026-02-21T22:57:12.262596+00:00,
COST,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,16187,0,0,8383,0,2026-02-21T22:57:12.262596+00:00,
CVX,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,19693,0,0,4877,0,2026-02-21T22:57:12.262596+00:00,
DE,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,14918,0,0,9652,0,2026-02-21T22:57:12.262596+00:00,
DIS,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,22187,0,0,2384,0,2026-02-21T22:57:12.262596+00:00,
GE,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,21439,0,0,3131,0,2026-02-21T22:57:12.262596+00:00,
GOOGL,1Min,2025-11-03 08:30:00-06:00,2026-02-03 15:58:00-06:00,24110,0,0,587,0,2026-02-21T22:57:12.262596+00:00,
GS,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,15545,0,0,9025,0,2026-02-21T22:57:12.262596+00:00,
HD,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,20996,0,0,3574,0,2026-02-21T22:57:12.262596+00:00,
HON,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,13171,0,0,11399,0,2026-02-21T22:57:12.262596+00:00,
IBM,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,19682,0,0,4888,0,2026-02-21T22:57:12.262596+00:00,
INTC,1Min,2025-11-03 07:06:00-06:00,2026-02-03 14:59:00-06:00,24523,0,0,378,0,2026-02-21T22:57:12.262596+00:00,
JNJ,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,19696,0,0,4874,0,2026-02-21T22:57:12.262596+00:00,
JPM,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,22803,0,0,1767,0,2026-02-21T22:57:12.262596+00:00,
KO,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,23513,0,0,1057,0,2026-02-21T22:57:12.262596+00:00,
LLY,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,19083,0,0,5487,0,2026-02-21T22:57:12.262596+00:00,
LOW,1Min,2025-11-03 08:31:00-06:00,2026-02-03 14:59:00-06:00,19056,0,0,5514,0,2026-02-21T22:57:12.262596+00:00,
MA,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,19143,0,0,5427,0,2026-02-21T22:57:12.262596+00:00,
MCD,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,19487,0,0,5083,0,2026-02-21T22:57:12.262596+00:00,
META,1Min,2025-11-03 07:24:00-06:00,2026-02-03 15:24:00-06:00,23829,0,0,863,0,2026-02-21T22:57:12.262596+00:00,
MRK,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,23643,0,0,928,0,2026-02-21T22:57:12.262596+00:00,
MS,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,17657,0,0,6913,0,2026-02-21T22:57:12.262596+00:00,
MSFT,1Min,2025-11-03 08:01:00-06:00,2026-02-03 15:31:00-06:00,24270,0,0,514,0,2026-02-21T22:57:12.262596+00:00,
NFLX,1Min,2025-11-03 08:30:00-06:00,2026-02-03 15:54:00-06:00,24634,0,0,427,0,2026-02-21T22:57:12.262596+00:00,
NKE,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,23980,0,0,616,0,2026-02-21T22:57:12.262596+00:00,
NVDA,1Min,2025-11-03 07:14:00-06:00,2026-02-03 15:23:00-06:00,25014,0,0,309,0,2026-02-21T22:57:12.262596+00:00,
ORCL,1Min,2025-11-03 07:27:00-06:00,2026-02-03 15:20:00-06:00,24487,0,0,450,0,2026-02-21T22:57:12.262596+00:00,
PEP,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,18813,0,0,5757,0,2026-02-21T22:57:12.262596+00:00,
PFE,1Min,2025-11-03 07:02:00-06:00,2026-02-03 15:12:00-06:00,24214,0,0,870,0,2026-02-21T22:57:12.262596+00:00,
PYPL,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,23875,0,0,726,0,2026-02-21T22:57:12.262596+00:00,
RTX,1Min,2025-11-03 08:31:00-06:00,2026-02-03 14:59:00-06:00,15787,0,0,8783,0,2026-02-21T22:57:12.262596+00:00,
SBUX,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,22627,0,0,1943,0,2026-02-21T22:57:12.262596+00:00,
SLB,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,23517,0,0,1065,0,2026-02-21T22:57:12.262596+00:00,
TGT,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,20550,0,0,4020,0,2026-02-21T22:57:12.262596+00:00,
TSLA,1Min,2025-11-03 08:30:00-06:00,2026-02-03 15:39:00-06:00,24739,0,0,373,0,2026-02-21T22:57:12.262596+00:00,
UNH,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,21507,0,0,3073,0,2026-02-21T22:57:12.262596+00:00,
V,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,22345,0,0,2226,0,2026-02-21T22:57:12.262596+00:00,
WFC,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,23944,0,0,626,0,2026-02-21T22:57:12.262596+00:00,
WMT,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,24092,0,0,487,0,2026-02-21T22:57:12.262596+00:00,
XOM,1Min,2025-11-03 08:30:00-06:00,2026-02-03 14:59:00-06:00,24029,0,0,549,0,2026-02-21T22:57:12.262596+00:00,
